Time,R11,R12,R13,R21,R22,R23,R31,R32,R33
1.088,0.9890285475526418,0.08953883819224912,0.1174960790030633,-0.08867522494593914,0.995981301144114,-0.012567905635592106,-0.11814921331392332,0.0020110262206858454,0.992993816278249
1.092,0.9890868886335832,0.08892695318739603,0.11746967153246118,-0.08807943792666184,0.9960363096071695,-0.012396876971808524,-0.11810647462210094,0.0019149258308106404,0.9929990904887082
1.096,0.9891456125119634,0.08842393462750608,0.11735486795750438,-0.08759333670732392,0.9960812795577546,-0.01222668716635179,-0.11797611882415074,0.0018144695029079843,0.9930147748586688
1.1,0.9892034094967664,0.08795181829576106,0.11722240527493959,-0.08713760683792231,0.9961232482831732,-0.012062823232528712,-0.11782891035112066,0.0017181060063309332,0.9930324244440454
1.104,0.9892626848565431,0.08740037281383053,0.11713460283975526,-0.08660091918367943,0.9961719231647447,-0.011907153093659799,-0.11772689219955478,0.0016353379642937535,0.9930446639113354
1.108,0.9893314602349422,0.08665971161230064,0.11710403995025011,-0.08587310732194589,0.996236727288807,-0.011755536557768658,-0.11768207692027895,0.001574034358061247,0.9930500748640873
1.112,0.9894195707573961,0.08566995539781239,0.11708788043340297,-0.08489475253566117,0.996322383684593,-0.011601239630301246,-0.11765115381567189,0.0015383469009475237,0.993053794864434
1.116,0.9895323355023068,0.0844441549269702,0.1170253891000586,-0.08367934954467243,0.9964270392928916,-0.011442107576097676,-0.11757348108791704,0.00152972699273947,0.9930630073062822
1.12,0.9896679053398836,0.08304762652953114,0.1168782651649947,-0.08229210887633355,0.9965443759962855,-0.01128341645334841,-0.11741143878197285,0.0015486762042281736,0.9930821494947744
1.124,0.9898157554445659,0.08158240975142803,0.11665796454958989,-0.08083432463947181,0.9966653246927123,-0.011137437553168815,-0.11717756710985149,0.001594043387224927,0.993109700280838
1.128,0.9899599025241724,0.0801753198629145,0.11641009182717081,-0.07943189222087225,0.9967793923347527,-0.011018961610471605,-0.11691862936479681,0.0016616562943823911,0.9931401074399405
1.132,0.9900889542021583,0.07896379190453098,0.11614035618567127,-0.07822201119887431,0.9968759574976502,-0.010938113509490647,-0.11664124369570072,0.0017449731233592644,0.9931725808427854
1.136,0.9902045911653161,0.07807259881297036,0.11575636893803314,-0.07733062609894703,0.9969459865422616,-0.01089376814613313,-0.116253352219512,0.001835546748472692,0.9932178959653617
1.14,0.9903137875073998,0.07759789958314718,0.11513977702354768,-0.0768559753247506,0.996982885709428,-0.010875875108837144,-0.11563633222145106,0.0019213492096709,0.9932897598825756
1.144,0.9904172219249581,0.07760948939127667,0.11423875730623907,-0.07686955434146911,0.9969818507225437,-0.010874784834440349,-0.11473795418165866,0.00198909182210423,0.9933938017644015
1.148,0.9905106109250718,0.07815253696129161,0.1130526895361409,-0.07741734357978906,0.9969393462378963,-0.010885533326623176,-0.11355740644224845,0.002029997357160107,0.9935293627029047
1.152,0.9905884249165076,0.07925653640544592,0.11159289340475481,-0.07852877428462893,0.996852159410551,-0.010908890313649,-0.11210621762768799,0.002042967335433862,0.9936941291230816
1.156,0.9906444195395882,0.08093922940989565,0.10987481593888829,-0.0802210130723693,0.9967169665783135,-0.0109488627979274,-0.11040028576373818,0.0020321607853136512,0.9938851277817913
1.16,0.9906721861116204,0.08317910665626153,0.10793449810273363,-0.082471853444586,0.9965325995667441,-0.011007787705166557,-0.10847586392482647,0.00200355100098638,0.9940970640380893
1.164,0.9906661224920774,0.08589507252254415,0.10584266749689852,-0.0851995893991238,0.9963022562918886,-0.011083504586214729,-0.10640330686934901,0.0019623007004047617,0.994321117981122
1.168,0.990619610873613,0.08896118378372064,0.10372412608651166,-0.08827735148395743,0.9960332570104328,-0.011174083594063787,-0.10430673884073516,0.001912775205915385,0.9945433351661567
1.172,0.9905215549240016,0.09224823574231604,0.10177088106805482,-0.09157444174640345,0.9957343103629893,-0.011282942203916912,-0.10237758958762722,0.001856385836094682,0.9947438780821197
1.176,0.9903528415846082,0.09568919553706068,0.10022388449248032,-0.09502209154641773,0.9954096578931947,-0.011419942692391624,-0.10085658770470116,0.001786289568761366,0.9948993707336137
1.18,0.9900884629936217,0.09931721147250362,0.0993022001380319,-0.09865225325905747,0.9950543961426884,-0.01159662209527435,-0.0999628349629928,0.001685295949029318,0.9949897443711295
1.1840000000000002,0.989708091195544,0.10320873604721509,0.09912543077136608,-0.10254105060602942,0.9946585350890949,-0.011820808560656799,-0.09981596647172397,0.0015347240638844712,0.995004732380386
1.188,0.9892092395715135,0.10735616646831848,0.09969821396381529,-0.10668088191732686,0.9942197377315078,-0.012095558624270435,-0.10042046494459868,0.0013291449576650508,0.994944201246478
1.192,0.9886119421611548,0.11158360937694448,0.10097289703065382,-0.11089522801176163,0.9937544582642441,-0.01242276475500074,-0.10172844351787237,0.0010838811522299388,0.9948116148201522
1.196,0.9879497819317066,0.11561752571369005,0.10289711428867995,-0.11490920067186719,0.9932934630758777,-0.012805147858676053,-0.10368753050413536,0.0008270178802282901,0.9946095777034221
1.2,0.9872601929657256,0.11921635964450084,0.10537917715749766,-0.11848038947717247,0.9928681266916841,-0.013239347003676358,-0.10620597297052443,0.0005853143251854422,0.9943439790698816
1.204,0.9865797308759049,0.12226008966511492,0.10822617566885098,-0.12148971658335321,0.9924980247167948,-0.01370838056654354,-0.10909025341121657,0.00037604300117610707,0.9940317777628328
1.208,0.9859417782025883,0.12473289862473808,0.11117784849235385,-0.1239239019777927,0.9921903349983271,-0.01418469789970373,-0.1120788852251681,0.0002076934718320696,0.9936992907062504
1.212,0.9853769508299093,0.12665093878532002,0.11398159710210992,-0.12580229010290742,0.9919473436762662,-0.014637321423794335,-0.11491757297304235,8.413320786342495e-05,0.9933750270384236
1.216,0.9849135487066075,0.12802352983615178,0.11642713336009448,-0.12713742663563715,0.991771130731348,-0.01503658858689563,-0.11739410684793872,7.493699594089855e-06,0.9930854060055556
1.22,0.9845728651052839,0.12886593619833348,0.11836318594098219,-0.12794722364293962,0.9916620241036944,-0.01536027059095778,-0.11935569219955987,-2.09353981499646e-05,0.9928515590466045
1.224,0.9843624850984115,0.1292171716722329,0.11972226391072158,-0.1282720094421392,0.9916163182121264,-0.015600290032650668,-0.12073437590245588,-6.751019943688195e-07,0.992684849524253
1.228,0.9842756891387084,0.12913677538939225,0.12051996105438355,-0.1281710020018536,0.9916267889069593,-0.015764065716480997,-0.12154654259320298,6.902247715250813e-05,0.9925857309167487
1.232,0.9842981186195218,0.12869416671293182,0.12080987184884315,-0.1277123745291409,0.9916843124769558,-0.01586738098225864,-0.12184729407827755,0.0001893176478793885,0.9925488406545191
1.236,0.9844170948186219,0.12796137815864397,0.12061869311431274,-0.12696743407485242,0.9917790865683298,-0.015922127060714695,-0.12166451460188486,0.00035936809825536743,0.9925712149469466
1.24,0.9846217804223728,0.1270191138954028,0.11994204526813498,-0.126017355554825,0.9919001048497212,-0.015931355814268237,-0.12099411397603382,0.0005715805618596309,0.9926530600762866
1.244,0.984898205024411,0.12596831554638857,0.11877503617384709,-0.12496450104756122,0.9920339354125052,-0.015891647740617833,-0.11983071066144638,0.0008089922022439051,0.992794010011135
1.248,0.9852250246041773,0.12494798654984866,0.11713091628958135,-0.12394969559184042,0.9921627420542868,-0.015797665713926566,-0.11818681760834486,0.0010459141732049155,0.9929908268494498
1.252,0.9855709409451444,0.12414077409252568,0.11506080380481962,-0.12315697875746708,0.9922638266939933,-0.015647901390470394,-0.11611321607739358,0.0012515759272154862,0.9932351960184773
1.256,0.9858981887706529,0.12375040870600962,0.11265255311727997,-0.12279050004063073,0.992312393549815,-0.015446899598591825,-0.1136980847618722,0.0013964070082492855,0.9935143660606773
1.26,0.9861684042779232,0.12397555898916904,0.11000881408895272,-0.12304847354250019,0.9922842031148521,-0.015203072307387438,-0.11104481781152746,0.001456372907631834,0.9938143324661597
1.264,0.9863479685905402,0.12498928548782014,0.10721643237190441,-0.1241029676733357,0.9921570807720291,-0.014925832928055658,-0.10824111174588863,0.0014161875474086546,0.9941236623986197
1.268,0.9864103473794448,0.12691190084252357,0.10434556055386673,-0.12607279078387132,0.9919131781682134,-0.01462526581640567,-0.10535785688181694,0.0012713775095440187,0.9944335601700593
1.272,0.9863375352305799,0.1297806437200603,0.1014655168560797,-0.1289930059271239,0.9915421948440739,-0.014313639148780019,-0.10246497458717098,0.0010297375409726414,0.9947360798842311
1.276,0.9861224572162808,0.13353062776032296,0.09865125860149342,-0.13279605018121465,0.9910444324251545,-0.01400507105914414,-0.09963788651909963,0.000710217598647937,0.9950235108583967
1.28,0.985773605186149,0.13799034215039993,0.09596387232452777,-0.13730783855893755,0.9904335161551543,-0.013711584401909175,-0.09693790171328985,0.00033992610005741835,0.9952903735401398
1.284,0.9853168033964447,0.1429006679873387,0.09343551805060267,-0.14226719792097878,0.9897370340779559,-0.013440527157981247,-0.09439725282191826,-4.963208408908952e-05,0.9955346082363642
1.288,0.9847905786510429,0.1479586122607911,0.09108109166015153,-0.14736943602372524,0.9889934620557106,-0.013197777733729113,-0.0920313290471957,-0.0004255219390748108,0.9957560210236673
1.2919999999999998,0.984238658617612,0.15286085091320928,0.08892594188814425,-0.15230968815856316,0.988247431580797,-0.01299126117816533,-0.08986668890999185,-0.000757781002441257,0.9959535149756272
1.296,0.9837087307582463,0.15731489130777612,0.08700090805746126,-0.15679437143488328,0.9875479629340398,-0.01282754813548682,-0.08793553386623691,-0.001022681598033658,0.9961256426806856
1.3,0.9832504949453467,0.16103979909951174,0.08535014525892523,-0.16054192718482274,0.9869471778937009,-0.012710533562465596,-0.08628298676746075,-0.0012046383890586825,0.9962699408497868
1.304,0.9829077354147171,0.16379726969389882,0.08404069313574641,-0.16331360401047743,0.9864931698527563,-0.012644863738693172,-0.08497676392415458,-0.001296254097510762,0.9963820900228452
