Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.144,94.74451,11.782285,384.284265,24.99182,-200.145085,430.587855,38.91943,163.937625,438.033295,-22.71021,-261.887635,84.085415,147.04468,-288.036925,-70.802765,-41.61603,248.360285,91.631685,117.54736,296.862665,-38.508455,9.17474,-175.396545,2.078095,-9.17474,175.396545,-2.078095,12.20197,-31.575015,-506.546545,-124.02252,-78.245425,-865.511465,36.92706,44.670535,-494.588505,-83.02039,112.104915,-855.661895,70.32483,-5.568665,706.468835,0,0,0
0.148,94.82492,11.853205,384.196775,25.254,-200.061095,430.548945,38.90835,163.900385,437.957645,-21.31864,-262.453925,83.976805,149.14816,-287.741395,-70.232725,-41.75308,248.639895,91.799435,118.04507,297.219355,-37.803405,9.29593,-175.333925,2.091065,-9.29593,175.333925,-2.091065,12.42966,-31.125425,-506.638825,-123.13797,-77.397825,-865.719065,37.40762,45.046755,-494.617245,-82.14633,112.842835,-855.785535,69.70273,-5.643675,706.420165,0,0,0
0.152,94.9278,11.94885,384.132015,25.55634,-199.96948,430.544125,38.92713,163.8902,437.901795,-19.91919,-263.0022,83.909725,151.27887,-287.41467,-69.612305,-41.88916,248.99109,91.989565,118.63257,297.59881,-37.019285,9.41821,-175.28467,2.102355,-9.41821,175.28467,-2.102355,12.65228,-30.6471,-506.674865,-122.23443,-76.54267,-865.904025,37.88873,45.41675,-494.624235,-81.25012,113.59204,-855.878795,69.1012,-5.69452,706.402285,0,0,0
0.156,95.053035,12.06934,384.089505,25.906125,-199.86853,430.579495,38.981875,163.9101,437.871245,-18.495785,-263.53638,83.886625,153.449215,-287.06567,-68.945155,-42.000485,249.4071,92.201695,119.320255,298.00092,-36.152735,9.538395,-175.25183,2.108365,-9.538395,175.25183,-2.108365,12.879085,-30.1377,-506.641115,-121.307555,-75.68561,-866.058705,38.374935,45.784,-494.613095,-80.325685,114.35455,-855.934065,68.529905,-5.7171,706.420315,0,0,0
0.16,95.19913,12.21387,384.067875,26.30435,-199.75653,430.657225,39.07504,163.96039,437.869505,-17.03848,-264.05524,83.909055,155.67227,-286.70038,-68.235535,-42.05991,249.87775,92.430055,120.11484,298.42517,-35.205195,9.65744,-175.2359,2.105835,-9.65744,175.2359,-2.105835,13.11459,-29.60132,-506.535395,-120.35574,-74.83179,-866.179045,38.86587,46.15399,-494.587155,-79.37076,115.13104,-855.947515,67.99374,-5.71008,706.473515,0,0,0
0.164,95.36154,12.379025,384.06467,26.74222,-199.636475,430.77536,39.20023,164.038085,437.89719,-15.54519,-264.557865,83.97922,157.95395,-286.325195,-67.48941,-42.04452,250.391115,92.66452,121.01645,298.868525,-34.17691,9.78128,-175.234255,2.09256,-9.78128,175.234255,-2.09256,13.35898,-29.048885,-506.36194,-119.38192,-73.987425,-866.26493,39.3552,46.530335,-494.54794,-78.38949,115.918885,-855.9194,67.49185,-5.675235,706.55893,0,0,0
0.168,95.535705,12.55902,384.07858,27.204895,-199.51404,430.92904,39.342715,164.13836,437.95346,-14.017025,-265.04529,84.09836,160.292235,-285.95069,-66.71408,-41.942805,250.9356,92.89462,122.021605,299.32513,-33.06424,9.918825,-175.24292,2.0668,-9.918825,175.24292,-2.0668,13.610715,-28.49256,-506.12409,-118.392825,-73.1587,-866.31844,39.833925,46.91357,-494.49356,-77.390445,116.71325,-855.85231,67.018615,-5.61701,706.67343,0,0,0
0.172,95.721625,12.74704,384.112005,27.679445,-199.3934,431.113465,39.487855,164.25845,438.037415,-12.456235,-265.52304,84.267765,162.680485,-285.5903,-65.916445,-41.756035,251.50046,93.115055,123.127445,299.78909,-31.863405,10.078735,-175.25864,2.026675,-10.078735,175.25864,-2.026675,13.868895,-27.94113,-505.823695,-117.395015,-72.34994,-866.342455,40.295905,47.30081,-494.418915,-76.381715,117.50949,-855.749465,66.568055,-5.54037,706.814635,0,0,0
0.176,95.924255,12.9372,384.17102,28.157225,-199.27399,431.32459,39.627865,164.39801,438.14783,-10.867065,-265.99237,84.48303,165.109255,-285.25629,-65.10144,-41.494635,252.07599,93.32617,124.331415,300.25775,-30.5744,10.266115,-175.27924,1.9696,-10.266115,175.27924,-1.9696,14.129815,-27.3988,-505.47034,-116.393615,-71.56177,-866.34042,40.740175,47.68695,-494.31729,-75.368415,118.30512,-855.61392,66.135125,-5.44897,706.979,0,0,0
0.18,96.148655,13.12524,384.26105,28.631135,-199.15174,431.55817,39.760895,164.55469,438.28314,-9.255095,-266.43799,84.72479,167.567785,-284.95667,-64.27167,-41.171595,252.65399,93.53082,125.627475,300.73059,-29.20148,10.482145,-175.30188,1.89313,-10.482145,175.30188,-1.89313,14.382115,-26.86939,-505.09042,-115.393155,-70.7912,-866.31698,41.170255,48.06714,-494.18216,-74.354645,119.09967,-855.449,65.715365,-5.34583,707.164,0,0,0
