Time,LegRFlex,LegRAdd,LegRRot,LegRKnee,LegLFlex,LegLAdd,LegLRot,LegLKnee
0.468,36.6697553401285,33.51926467652012,5.599436455475348,33.12005948727283,44.19485826095672,41.48830070533013,-11.87972165942161,41.58908710879859
0.472,37.034050632626744,32.88550840698996,5.562528143412042,33.480583031225336,44.59220428633707,41.493136419945046,-12.14024527616856,41.58191133944044
0.476,37.40792430210109,32.24054791116156,5.512723204123214,33.86127119843914,44.97685376080446,41.457490305800974,-12.372576909319397,41.60907417022982
0.48,37.79338024643428,31.591563259218642,5.453123823045802,34.26367868696676,45.35123858647636,41.38476578912789,-12.57768281212085,41.67320452214216
0.484,38.192413956948464,30.94501030689006,5.387421642036232,34.68772502716008,45.718378639058436,41.27799417696961,-12.757789029739898,41.77417080968367
0.488,38.6058833446072,30.306039535119996,5.319187388622009,35.13143211678393,46.082729360209974,41.14265542918806,-12.917515270756997,41.90744179751913
0.4920000000000001,39.03346221639647,29.680052084355637,5.252098760564015,35.59130512649495,46.447843748990344,40.983198608515025,-13.060664785638384,42.06870534184947
0.496,39.47279027717141,29.065653736930898,5.186212695016003,36.064071400835964,46.812924838231204,40.80058617745705,-13.187575003190734,42.247415666261
0.5,39.92614561391364,28.476435810370422,5.128943565955528,36.54568349712906,47.17859470427036,40.59600665696857,-13.298611610945677,42.4363919901307
0.504,40.39193867751658,27.90491665204513,5.07783346836729,37.0353676134837,47.5445074152497,40.37036344122828,-13.393858510167481,42.62747888228161
0.508,40.8724421646599,27.35729268397816,5.036829024312884,37.532264787920376,47.910557583369496,40.122850593137784,-13.472052886474396,42.81654175759172
0.512,41.36834332623827,26.83544694083375,5.007321193411207,38.03641510397887,48.276983393349596,39.85197209664883,-13.530529778761256,43.003432295579756
0.516,41.87874101535135,26.33874897164542,4.989163420160988,38.54675409254725,48.64426344740574,39.554270923509286,-13.563788839264149,43.19146753147162
0.52,42.40278469853477,25.866452267735866,4.982280424920366,39.061280005832415,49.01538994831207,39.22613558445747,-13.567651803065889,43.38819348984975
