Frame#,sternumU,,,shoulderR,,,shoulderL,,,elbowRin,,,wristRin,,,elbowLin,,,wristLin,,,pvsR,,,pvsL,,,kneeRin,,,heelR,,,kneeLin,,,heelL,,,headT,,,pvCenter,,
Time,X3,Y3,Z3,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X9,Y9,Z9,X13,Y13,Z13,X15,Y15,Z15,X22,Y22,Z22,X23,Y23,Z23,X26,Y26,Z26,X28,Y28,Z28,X33,Y33,Z33,X35,Y35,Z35,X40,Y40,Z40,X41,Y41,Z41
0.148,935.90503,-864.91785,1355.39807,866.33411,-1076.83215,1401.75024,879.98846,-712.87067,1409.15894,819.76147,-1139.22498,1055.1781,990.22827,-1164.51245,900.96857,799.32703,-628.13116,1063.00073,959.12518,-579.5517,933.39789,850.37604,-1052.10498,973.29236,831.78418,-701.43713,969.11023,853.50977,-907.89648,464.56247,717.94214,-954.16888,105.48223,878.48773,-831.7243,476.58405,758.93378,-763.92822,115.41576,910.78284,-882.41473,1677.62146,841.08011,-876.771055,971.201295
0.152,935.11835,-865.63733,1355.44653,865.74689,-1077.55566,1401.85864,879.11768,-713.69598,1409.21631,820.27136,-1140.58838,1055.22424,991.46942,-1165.00085,901.70221,798.30139,-628.59509,1063.30408,958.82312,-579.98737,934.29523,849.60876,-1052.87085,973.41687,830.77234,-702.30151,969.21216,852.84283,-908.23328,464.63965,717.95612,-954.12885,105.41049,878.07928,-832.16943,476.69028,758.94043,-763.99414,115.43572,909.29175,-883.2807,1677.7168,840.19055,-877.58618,971.314515
0.156,934.3222,-866.354,1355.48254,865.17529,-1078.29187,1401.97253,878.25104,-714.51324,1409.26428,820.77338,-1141.95972,1055.27966,992.71838,-1165.48901,902.44788,797.26868,-629.01624,1063.59473,958.58942,-580.42242,935.2403,848.80756,-1053.67517,973.5014,829.73077,-703.17151,969.28467,852.14825,-908.56104,464.75192,717.96161,-954.10895,105.33433,877.6441,-832.63934,476.77994,758.94348,-764.06879,115.45897,907.79907,-884.14044,1677.81335,839.269165,-878.42334,971.393035
0.16,933.51331,-867.06744,1355.50159,864.61853,-1079.03784,1402.09094,877.38922,-715.32092,1409.30322,821.2757,-1143.33655,1055.34277,993.98645,-1165.98169,903.19818,796.25427,-629.40356,1063.86377,958.42902,-580.85614,936.22852,847.97162,-1054.51721,973.53955,828.65674,-704.04541,969.32788,851.42877,-908.88263,464.89832,717.95844,-954.1131,105.25467,877.18005,-833.12732,476.84656,758.94342,-764.15027,115.4862,906.30792,-884.99139,1677.90723,838.31418,-879.28131,971.433715
0.164,932.69189,-867.77637,1355.50171,864.07257,-1079.79187,1402.2124,876.53058,-716.11731,1409.33423,821.78516,-1144.71326,1055.41626,995.2843,-1166.48059,903.94763,795.28583,-629.76428,1064.10156,958.3468,-581.28687,937.26013,847.11163,-1055.38965,973.5296,827.54907,-704.92114,969.34448,850.68933,-909.20428,465.0751,717.94843,-954.14282,105.17211,876.68555,-833.62506,476.8891,758.94086,-764.23651,115.51764,904.8222,-885.83063,1677.99597,837.33035,-880.155395,971.43704
0.168,931.86267,-868.47955,1355.48413,863.53186,-1080.55261,1402.33459,875.66968,-716.90021,1409.35901,822.30994,-1146.08386,1055.50391,996.6192,-1166.98926,904.69147,794.38416,-630.10297,1064.30017,958.34857,-581.71344,938.34131,846.24579,-1056.28149,973.47235,826.40814,-705.79565,969.33875,849.93768,-909.53113,465.28146,717.93414,-954.19727,105.08711,876.16089,-834.125,476.91199,758.93652,-764.32532,115.55324,903.34558,-886.65558,1678.07898,836.326965,-881.03857,971.40555
0.172,931.03461,-869.17682,1355.45435,862.99243,-1081.31726,1402.45581,874.80084,-717.66541,1409.37976,822.85675,-1147.4469,1055.61011,997.99347,-1167.51416,905.4259,793.55695,-630.4234,1064.4574,958.44043,-582.13477,939.47894,845.39172,-1057.1825,973.36902,825.23425,-706.66522,969.31567,849.18188,-909.86499,465.51865,717.91797,-954.2738,104.99989,875.60889,-834.62305,476.92343,758.93127,-764.41437,115.59288,901.88104,-887.46423,1678.15698,835.312985,-881.92386,971.342345
0.176,930.21924,-869.86938,1355.42163,862.45221,-1082.08057,1402.5752,873.92285,-718.40857,1409.39844,823.42792,-1148.79895,1055.73364,999.40424,-1168.06287,906.14917,792.80035,-630.73059,1064.57678,958.6264,-582.54883,940.67621,844.5611,-1058.08582,973.22021,824.02887,-707.52734,969.28101,848.4248,-910.20538,465.78027,717.90137,-954.36835,104.91019,875.03516,-835.11963,476.93332,758.92657,-764.50146,115.63669,900.43011,-888.25555,1678.22961,834.294985,-882.80658,971.25061
0.18,929.4267,-870.55945,1355.39551,861.90918,-1082.83643,1402.69263,873.03894,-719.13,1409.4176,824.02295,-1150.12268,1055.85925,1000.84583,-1168.64136,906.86279,792.10645,-631.0307,1064.66528,958.90552,-582.9541,941.93298,843.76019,-1058.98657,973.02759,822.7959,-708.38281,969.24133,847.66016,-910.55408,466.04404,717.88489,-954.47589,104.81748,874.4483,-835.61755,476.9523,758.9234,-764.58502,115.68546,898.99341,-889.03052,1678.29846,833.278045,-883.68469,971.13446
0.184,928.66187,-871.2489,1355.38281,861.36078,-1083.5791,1402.80823,872.15381,-719.83661,1409.43982,824.64319,-1151.3916,1055.96094,1002.31561,-1169.24939,907.57391,791.4696,-631.32849,1064.73132,959.27014,-583.35059,943.245,842.99402,-1059.87769,972.80017,821.54065,-709.23535,969.2038,846.87524,-910.91632,466.27692,717.86798,-954.59058,104.72214,873.85638,-836.11981,476.99084,758.92163,-764.66382,115.74061,897.57159,-889.79236,1678.36768,832.267335,-884.55652,971.001985
